Volumetric Flowrate (L/h),Discharge Pressure (barg)
0.84,11.93
1.31,11.67
2.54,11.44
3.48,11.23
4.64,10.98
5.45,10.73
6.41,10.52
6.82,10.33
7.63,10.19
7.69,10
9.19,9.71
9.78,9.49
10.46,9.3
11,9.11
11.74,8.9
12.43,8.69
13.07,8.45
13.83,8.21
14.55,8
15.25,7.79
15.77,7.57
16.26,7.36
17.08,7.12
17.5,6.89
18.35,6.67
18.58,6.43
19.36,6.2
20.14,5.94
20.73,5.72
20.9,5.54
21.53,5.34
22.04,5.08
22.66,4.86
23.34,4.61
23.89,4.32
24.47,4.06
25.09,3.83
25.83,3.57
26,3.31
26.57,3.1
27.18,2.89
27.66,2.65
28.36,2.44
28.83,2.22
29.73,2.01
30.48,1.83
31.09,1.64
32.21,1.42
33.3,1.21
34.19,1.01
35.59,0.82
36.91,0.62
38.82,0.42
40.85,0.22
42.47,0.07
