Volumetric Flowrate (mL / min),Discharge Pressure (barg)
1.509433962,14.95437262
13.58490566,14.64638783
27.16981132,14.33840304
39.24528302,13.96197719
52.83018868,13.72243346
63.39622642,13.41444867
72.45283019,13.10646388
83.01886792,12.90114068
95.09433962,12.69581749
105.6603774,12.4904943
117.7358491,12.3878327
128.3018868,12.18250951
137.3584906,11.97718631
146.4150943,11.73764259
153.9622642,11.42965779
158.490566,11.19011407
166.0377358,10.98479087
178.1132075,10.74524715
191.6981132,10.53992395
202.2641509,10.30038023
220.3773585,10.0608365
230.9433962,9.787072243
241.509434,9.44486692
256.6037736,9.136882129
270.1886792,8.760456274
282.2641509,8.418250951
297.3584906,8.076045627
307.9245283,7.733840304
316.9811321,7.357414449
326.0377358,6.946768061
336.6037736,6.570342205
347.1698113,6.262357414
357.7358491,5.885931559
371.3207547,5.577946768
383.3962264,5.269961977
398.490566,4.927756654
409.0566038,4.551330798
419.6226415,4.311787072
433.2075472,4.003802281
449.8113208,3.69581749
467.9245283,3.422053232
480,3.114068441
501.1320755,2.840304183
513.2075472,2.498098859
528.3018868,2.224334601
546.4150943,1.984790875
560,1.711026616
575.0943396,1.437262357
591.6981132,1.129277567
605.2830189,0.88973384
618.8679245,0.615969582
630.9433962,0.376425856
641.509434,0.136882129
